Codigo,Descripcion,DAI,ISC,IVA,Nota_Referencia,Exento_IVA,Keywords_Sugeridas
0101.21.00.00.00,"CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS > Reproductores de raza pura",0.0,0.0,0.15,,No,"Equinos, Animales de cría, Ganado reproductor, Animales vivos, Raza pura"
0101.29.00.00.00,"CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS > Los demás",0.1,0.0,0.15,,No,"Equinos, Animales de carga, Ganado, Animales vivos, Transporte animal"
0101.30.00.00.00,"CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS > Asnos",0.1,0.0,0.15,,No,"Asnos, animales de carga, ganado, transporte, comercio de animales"
0101.90.00.00.00,"CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS > Los demás",0.1,0.0,0.15,,No,"Equinos, Animales de carga, Ganado, Animales vivos, Transporte animal"
0102.21.00.00.00,ANIMALES VIVOS DE LA ESPECIE BOVINA > Reproductores de raza pura,0.0,0.0,0.0,,Sí,"ganado bovino, toros de raza pura, vacas reproductoras, ganado de cría, animales de reproducción"
0102.29.00.00.00,ANIMALES VIVOS DE LA ESPECIE BOVINA > Los demás,0.1,0.0,0.0,,Sí,"ganado, reses, bovinos, animales de granja, ganado vacuno"
0102.31.00.00.00,ANIMALES VIVOS DE LA ESPECIE BOVINA > Reproductores de raza pura,0.0,0.0,0.15,,No,"ganado, bovinos, reproductores, raza pura, animales de cría"
0102.39.00.00.00,ANIMALES VIVOS DE LA ESPECIE BOVINA > Los demás,0.1,0.0,0.15,,No,"ganado, reses, bovinos, animales de granja, ganado vacuno"
0102.90.10.00.00,ANIMALES VIVOS DE LA ESPECIE BOVINA > Reproductores de raza pura,0.0,0.0,0.15,,No,"ganado bovino, toros de raza pura, vacas reproductoras, ganado de cría, animales de reproducción"
0102.90.90.00.00,ANIMALES VIVOS DE LA ESPECIE BOVINA > Otros,0.1,0.0,0.15,,No,"ganado, reses, bovinos, ganado vacuno, animales de granja"
0103.10.00.00.00,ANIMALES VIVOS DE LA ESPECIE PORCINA > Reproductores de raza pura,0.0,0.0,0.0,,Sí,"Cerdos, Ganado porcino, Reproductores, Animales de cría, Porcinos de raza"
0103.91.00.00.00,ANIMALES VIVOS DE LA ESPECIE PORCINA > De peso inferior a 50 kg,0.1,0.0,0.0,,Sí,"Cerdos, Lechones, Ganado porcino, Animales de granja, Porcinos"
0103.92.00.00.00,ANIMALES VIVOS DE LA ESPECIE PORCINA > De peso superior o igual a 50 kg,0.1,0.0,0.0,,Sí,"Cerdos, Ganado porcino, Animales de granja, Porcinos, Animales vivos"
0104.10.10.00.00,ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA > Reproductores de raza pura,0.0,0.0,0.0,,Sí,"ovejas, cabras, reproductores, raza pura, ganado"
0104.10.90.00.00,ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA > Otros,0.1,0.0,0.0,,Sí,"Ovejas, Cabras, Ganado, Animales de granja, Especies agrícolas"
0104.20.10.00.00,ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA > Reproductores de raza pura,0.0,0.0,0.0,,Sí,"ovejas, cabras, reproductores, raza pura, ganado"
0104.20.90.00.00,ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA > Otros 10 0 E 2,0.1,0.0,0.0,,Sí,"Ovejas, Cabras, Ganado, Animales de granja, Especies ovinas y caprinas"
0105.11.00.00.00,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Aves de la especie Gallus domesticus",0.0,0.0,0.0,,Sí,"Aves domésticas, aves de corral, aves vivas, ganado avícola, aves de granja."
0105.12.00.00.00,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Pavos (gallipavos)",0.0,0.0,0.0,,Sí,"Aves de corral, aves domésticas, aves vivas, ganado avícola, aves de granja."
0105.13.00.00.00,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Patos",0.1,0.0,0.0,,Sí,"Aves, Ganado, Animales vivos, Aves de corral, Producción avícola"
